"year","state","n_jobs"
2008,"Nevada",2
2008,"Tennessee",2
2008,"Texas",15
2008,"Missouri",2
2008,"South Carolina",14
2008,"Pennsylvania",2
2008,"Illinois",3
2008,"Florida",2
2008,"Louisiana",1
2008,"Michigan",2
2008,"Maryland",2
2008,"California",5
2008,"Arizona",5
2008,"Oklahoma",1
2008,"Kentucky",1
2008,"North Dakota",1
2008,"Virginia",1
2008,"New York",2
2008,"Indiana",1
2009,"Michigan",1039
2009,"Ohio",23
2009,"New Jersey",19
2009,"Utah",6
2009,"Pennsylvania",27
2009,"Florida",47
2009,"North Carolina",24
2009,"Nebraska",6
2009,"Oklahoma",6
2009,"Illinois",22
2009,"Georgia",23
2009,"Massachusetts",14
2009,"Oregon",5
2009,"Virginia",16
2009,"Texas",35
2009,"West Virginia",1
2009,"California",13
2009,"Minnesota",15
2009,"Arizona",20
2009,"North Dakota",3
2009,"empty",7
2009,"Alabama",8
2009,"Wisconsin",11
2009,"Indiana",12
2009,"Maryland",20
2009,"Missouri",9
2009,"Delaware",2
2009,"South Dakota",2
2009,"Arkansas",8
2009,"Iowa",4
2009,"Tennessee",6
2009,"South Carolina",10
2009,"Kentucky",9
2009,"Vermont",1
2009,"Nevada",4
2009,"Louisiana",8
2009,"Rhode Island",5
2009,"Connecticut",2
2009,"New Mexico",3
2009,"Idaho",1
2009,"Maine",2
2009,"Mississippi",3
2009,"Washington, D.C.",1
2009,"Kansas",4
2009,"Montana",3
2009,"Washington",1
2010,"Washington",4
2010,"Virginia",1
2010,"Connecticut",3
2010,"Kentucky",1
2010,"Pennsylvania",8
2010,"Louisiana",29
2010,"Minnesota",11
2010,"Texas",54
2010,"Alabama",1
2010,"Florida",3
2010,"New Hampshire",5
2010,"Maine",4
2010,"Ohio",2
2010,"California",8
2010,"New York",2
2010,"Arkansas",3
2010,"Nebraska",1
2010,"Georgia",4
2010,"Missouri",1
2010,"empty",7
2010,"Massachusetts",2
2010,"New Jersey",3
2010,"Indiana",2
2010,"Nevada",2
2010,"Arizona",5
2010,"South Dakota",2
2010,"Washington, D.C.",1
2010,"Kansas",1
2010,"Maryland",2
2010,"North Carolina",1
2010,"Montana",1
2011,"Texas",297
2011,"Michigan",19
2011,"New York",32
2011,"empty",10
2011,"Ohio",10
2011,"Nebraska",3
2011,"Florida",78
2011,"Missouri",45
2011,"Iowa",8
2011,"California",53
2011,"Arizona",6
2011,"South Carolina",22
2011,"New Jersey",18
2011,"Georgia",15
2011,"Oklahoma",6
2011,"Indiana",16
2011,"Massachusetts",44
2011,"Arkansas",7
2011,"Pennsylvania",4
2011,"Illinois",3
2011,"Maine",3
2011,"Virginia",2
2011,"Delaware",4
2011,"Hawaii",1
2011,"Louisiana",2
2011,"North Carolina",19
2011,"Oregon",2
2011,"Alabama",3
2011,"Washington",10
2011,"Tennessee",2
2011,"Maryland",3
2011,"New Mexico",2
2011,"Minnesota",1
2011,"Kansas",1
2011,"Nevada",1
2011,"Colorado",2
2011,"Connecticut",1
2011,"South Dakota",1
2012,"Texas",92
2012,"California",467
2012,"Florida",21
2012,"Iowa",194
2012,"Washington",10
2012,"Alabama",4
2012,"Virginia",26
2012,"Maryland",23
2012,"Arkansas",4
2012,"New York",35
2012,"empty",16
2012,"Colorado",9
2012,"Alaska",8
2012,"Utah",1
2012,"Pennsylvania",22
2012,"Massachusetts",20
2012,"Ohio",13
2012,"North Carolina",49
2012,"Oklahoma",2
2012,"Michigan",13
2012,"Washington, D.C.",14
2012,"North Dakota",5
2012,"Georgia",16
2012,"Oregon",5
2012,"Arizona",8
2012,"Nebraska",1
2012,"Minnesota",7
2012,"New Jersey",18
2012,"Kentucky",5
2012,"Connecticut",2
2012,"Mississippi",2
2012,"Illinois",22
2012,"Louisiana",3
2012,"Delaware",2
2012,"South Dakota",3
2012,"West Virginia",5
2012,"South Carolina",5
2012,"Nevada",2
2012,"Kansas",3
2012,"Hawaii",3
2012,"Indiana",3
2012,"Tennessee",7
2012,"Rhode Island",1
2012,"Maine",2
