"year","state","n_jobs"
2008,"Maryland",1
2009,"Maryland",2
2009,"Michigan",11
2009,"empty",1
2010,"California",1
2011,"Connecticut",1
2011,"Iowa",1
2011,"Maryland",1
2011,"New York",1
2011,"Ohio",2
2011,"Texas",1
2011,"Virginia",1
2012,"California",19
2012,"Florida",4
2012,"Georgia",3
2012,"Hawaii",1
2012,"Illinois",2
2012,"Iowa",27
2012,"Michigan",3
2012,"Minnesota",1
2012,"New Jersey",1
2012,"New York",5
2012,"North Carolina",18
2012,"Ohio",2
2012,"Pennsylvania",3
2012,"Tennessee",2
2012,"Texas",7
2012,"Virginia",6
2012,"Washington, D.C.",2
2012,"empty",1
2013,"Arizona",5
2013,"California",21
2013,"Colorado",2
2013,"Connecticut",6
2013,"Delaware",2
2013,"Florida",5
2013,"Georgia",4
2013,"Illinois",25
2013,"Indiana",2
2013,"Iowa",92
2013,"Kansas",5
2013,"Kentucky",1
2013,"Louisiana",1
2013,"Maryland",1
2013,"Massachusetts",5
2013,"Michigan",7
2013,"Minnesota",4
2013,"Missouri",3
2013,"Nebraska",1
2013,"New Jersey",12
2013,"New York",44
2013,"North Carolina",4
2013,"Ohio",15
2013,"Oklahoma",3
2013,"Oregon",2
2013,"Pennsylvania",6
2013,"Texas",17
2013,"Utah",1
2013,"Virginia",15
2013,"Washington",5
2013,"Washington, D.C.",7
2013,"Wisconsin",1
2013,"empty",1
2014,"Alabama",1
2014,"Arizona",51
2014,"Arkansas",1
2014,"California",63
2014,"Colorado",5
2014,"Connecticut",28
2014,"Delaware",6
2014,"Florida",4
2014,"Georgia",21
2014,"Illinois",25
2014,"Indiana",8
2014,"Iowa",27
2014,"Kansas",8
2014,"Louisiana",3
2014,"Maine",1
2014,"Maryland",5
2014,"Massachusetts",23
2014,"Michigan",29
2014,"Minnesota",5
2014,"Missouri",9
2014,"Nebraska",3
2014,"New Jersey",59
2014,"New York",155
2014,"North Carolina",19
2014,"Ohio",10
2014,"Oklahoma",5
2014,"Oregon",12
2014,"Pennsylvania",20
2014,"South Carolina",2
2014,"South Dakota",1
2014,"Tennessee",4
2014,"Texas",42
2014,"Utah",1
2014,"Virginia",45
2014,"Washington",26
2014,"Washington, D.C.",8
2014,"Wisconsin",4
2014,"empty",1
2015,"Arizona",77
2015,"Arkansas",5
2015,"California",476
2015,"Colorado",30
2015,"Connecticut",57
2015,"Delaware",21
2015,"Florida",52
2015,"Georgia",44
2015,"Hawaii",2
2015,"Idaho",9
2015,"Illinois",97
2015,"Indiana",11
2015,"Iowa",12
2015,"Kansas",8
2015,"Kentucky",5
2015,"Maine",3
2015,"Maryland",45
2015,"Massachusetts",115
2015,"Michigan",54
2015,"Minnesota",49
2015,"Mississippi",4
2015,"Missouri",28
2015,"Montana",2
2015,"Nebraska",10
2015,"Nevada",6
2015,"New Hampshire",10
2015,"New Jersey",288
2015,"New York",526
2015,"North Carolina",110
2015,"North Dakota",1
2015,"Ohio",96
